2025-12-26 10:21:14,807 | INFO | hazard-pipeline | <module> | Hazard processing started
2025-12-26 10:21:14,807 | INFO | hazard-pipeline | wrapper | ▶️ process_hazards execution started
2025-12-26 10:21:14,807 | INFO | hazard-pipeline | wrapper | ▶️ scrap_hazard_master_data_insert_to_db execution started
2025-12-26 10:21:16,613 | INFO | hazard-pipeline | wrapper | ✅ scrap_hazard_master_data_insert_to_db execution completed successfully
2025-12-26 10:21:16,614 | INFO | hazard-pipeline | wrapper | ▶️ read_district_geometry_gdf_and_save_json execution started
2025-12-26 10:21:17,061 | INFO | hazard-pipeline | wrapper | ✅ read_district_geometry_gdf_and_save_json execution completed successfully
2025-12-26 10:21:17,062 | INFO | hazard-pipeline | wrapper | ▶️ create_district_hazard_geojson execution started
2025-12-26 10:21:17,118 | INFO | pyogrio._io | write | Created 381 records
2025-12-26 10:21:17,118 | INFO | hazard-pipeline | wrapper | ✅ create_district_hazard_geojson execution completed successfully
2025-12-26 10:21:17,119 | INFO | hazard-pipeline | wrapper | ✅ process_hazards execution completed successfully
2025-12-26 10:21:17,120 | INFO | hazard-pipeline | wrapper | ▶️ build_hazard_records execution started
2025-12-26 10:21:17,129 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,130 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,130 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,130 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,130 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,131 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,132 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
2025-12-26 10:21:17,133 | INFO | hazard-pipeline | wrapper | ▶️ detect_hazard_type execution started
2025-12-26 10:21:17,133 | INFO | hazard-pipeline | wrapper | ✅ detect_hazard_type execution completed successfully
